-8.0,-8.0,-8.0,-8.0,dummy path,0.7047162194205501,4.5
-8.0,-8.0,-8.0,-8.0,dummy path,0.7198144913770961,3.2
-8.0,-8.0,-8.0,-8.0,dummy path,0.7199396093069681,3.0
-8.0,-8.0,-8.0,-8.0,dummy path,0.6953425422441458,1.1
-8.0,-8.0,-8.0,-8.0,dummy path,0.7214801370240429,3.2
-8.0,-8.0,-8.0,-8.0,dummy path,0.716697854942506,3.3000000000000003
-8.0,-8.0,-8.0,-8.0,dummy path,0.7152598005317067,3.3000000000000003
-8.0,-8.0,-8.0,-8.0,dummy path,0.7138714609785547,3.2
-0.1999999999999993,-0.1999999999999993,0.0,0.0,prm,1.0473180925189656,11.700000000000001
0.0,0.09999999999999964,0.0,0.0,prm,0.0,0.2
0.0,0.09999999999999964,0.0,-1.0,prm,0.9372174104860017,13.9
-8.0,-8.0,-8.0,-8.0,dummy path,0.7257715206669978,3.3000000000000003
-8.0,-8.0,-8.0,-8.0,dummy path,0.7310636333731549,3.4000000000000004
-8.0,-8.0,-8.0,-8.0,dummy path,0.7004834022959018,3.4000000000000004
-8.0,-8.0,-8.0,-8.0,dummy path,0.706059136001888,3.4000000000000004
-8.0,-8.0,-8.0,-8.0,dummy path,0.709234926836408,3.3000000000000003
-7.3,-8.3,0.0,0.0,prm,15.128865576081672,93.4
-0.09999999999999964,0.10000000000000142,0.0,-10.0,prm,11.906017181513453,79.10000000000001
0.10000000000000142,-9.9,-7.5,-7.5,prm,9.215341763420094,59.800000000000004
