-8.000000000000000000e+00,-8.000000000000000000e+00
-7.200000000000000178e+00,-6.599999999999999645e+00
-5.000000000000000000e+00,-5.000000000000000000e+00
-4.599999999999999645e+00,-3.900000000000000355e+00
-4.599999999999999645e+00,-2.400000000000000355e+00
-2.000000000000000000e+00,-1.699999999999999289e+00
1.300000000000000711e+00,9.999999999999964473e-02
6.000000000000000000e+00,2.599999999999999645e+00
6.100000000000001421e+00,4.199999999999999289e+00
6.399999999999998579e+00,5.099999999999999645e+00
6.000000000000000000e+00,6.000000000000000000e+00
